"filename", "language", "JavaScript", "JSON with Comments", "HTML", "TypeScript", "JSON", "Markdown", "Vue", "SCSS", "XML", "comment", "blank", "total"
"e:\java-projects\smart-community\community-admin\src\layout\components\Logo\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 3, 39
"e:\java-projects\smart-community\community-admin\src\layout\components\Main\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 3, 34
"e:\java-projects\smart-community\community-admin\src\layout\components\Menu\MenuItem.vue", "Vue", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 7, 55
"e:\java-projects\smart-community\community-admin\src\layout\components\Navbar\NavbarLeft.vue", "Vue", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 3, 24
"e:\java-projects\smart-community\community-admin\src\layout\components\Navbar\NavbarRight.vue", "Vue", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 3, 33
"e:\java-projects\smart-community\community-admin\src\layout\components\Navbar\components\Breadcrumb.vue", "Vue", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 4, 29
"e:\java-projects\smart-community\community-admin\src\layout\components\Navbar\components\Fullscreen.vue", "Vue", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 3, 10
"e:\java-projects\smart-community\community-admin\src\layout\components\Navbar\components\Hamburger.vue", "Vue", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 6, 32
"e:\java-projects\smart-community\community-admin\src\layout\components\Navbar\components\Refresh.vue", "Vue", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 4, 23
"e:\java-projects\smart-community\community-admin\src\layout\components\Navbar\components\ThemeSettings.vue", "Vue", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 2, 13
"e:\java-projects\smart-community\community-admin\src\layout\components\Navbar\components\User.vue", "Vue", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 5, 60
"e:\java-projects\smart-community\community-admin\src\layout\components\Router\Iframe.vue", "Vue", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 7, 51
"e:\java-projects\smart-community\community-admin\src\layout\components\Router\Redirect.vue", "Vue", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 2, 19
"e:\java-projects\smart-community\community-admin\src\layout\components\Settings\components\SelectItem.vue", "Vue", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 5, 47
"e:\java-projects\smart-community\community-admin\src\layout\components\Settings\components\SwitchItem.vue", "Vue", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 4, 39
